Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;1;Board;Board;;;;;;;
ANT1;1;Antennas 2.45GHz ANTENNA;2450AT18B100E_ANTC3216X140N;2450AT18B100E;;;;;Top;
C1;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;12pF;;;;;Top;
C1-EP-DR;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;10uF;;;;;Top;
C2;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;12pF;;;;;Top;
C2-EP-DR;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;4.7uF/25V;;;;;Top;
C3;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;1pF;;;;;Top;
C4;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;1pF;;;;;Top;
C5;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100nF;;;;;Top;
C6;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;4.7uF;;;;;Top;
C7;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100nF;;;;;Top;
C8;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100nF;;;;;Top;
C9;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;820pF;;;;;Top;
C10;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;N.C.;;;;;Top;
C11;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100pF;;;;;Top;
C12;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100nF;;;;;Top;
C13;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;N.C.;;;;;Top;
C14;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;4.7uF;;;;;Top;
C15;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;1.0uF;;;;;Top;
C16;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;47nF;;;;;Top;
C17;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;12pF;;;;;Top;
C18;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;12pF;;;;;Top;
C19;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100nF;;;;;Top;
C20;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;4.7uF;;;;;Top;
C21;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;4.7uF;;;;;Top;
C22;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;N.C.;;;;;Top;
C23;1;Check availability;NORDIC_NRF_3_RESC0201_L;0.1uF;;;;;Top;
C24;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;10uF;;;;;Top;
C25;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_L;22uF;;;;;Top;
C27;1;Check availability;NORDIC_NRF_3_RESC0201_L;0.1uF;;;;;Top;
